invoice_and_item_number,date,store_number,item_number,bottles_sold,bottle_volume_ml,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-24483900033,2020-01-10,4180,36966,2,100,3,0.2,0.05
INV-24466700001,2020-01-10,4661,52593,1,200,3,0.2,0.05
INV-24486100034,2020-01-10,4346,86112,1,1000,3.5,1,0.26
INV-24484000097,2020-01-10,2569,86112,1,1000,3.5,1,0.26
INV-24482200021,2020-01-10,5017,30056,1,750,4.5,0.75,0.19
INV-24476200018,2020-01-10,4622,89193,1,200,4.5,0.2,0.05
INV-24473300037,2020-01-10,5517,23826,1,750,5.25,0.75,0.19
INV-24474300014,2020-01-10,5252,76486,1,750,5.25,0.75,0.19
INV-24483900049,2020-01-10,4180,25604,1,375,5.25,0.37,0.09
INV-24466700010,2020-01-10,4661,40192,1,375,5.25,0.37,0.09
INV-24476900029,2020-01-10,4377,40192,1,375,5.25,0.37,0.09
INV-24484000040,2020-01-10,2569,36968,1,375,5.25,0.37,0.09
INV-24496400017,2020-01-10,3963,39917,1,375,5.25,0.37,0.09
INV-24466400044,2020-01-10,4448,40593,1,375,5.25,0.37,0.09
INV-24465400010,2020-01-10,4868,40593,1,375,5.25,0.37,0.09
INV-24465400011,2020-01-10,4868,36968,1,375,5.25,0.37,0.09
INV-24489600054,2020-01-10,2550,45246,1,750,6,0.75,0.19
INV-24497800032,2020-01-10,3465,39704,1,50,6,0.05,0.01
INV-24475000008,2020-01-10,4361,52593,2,200,6,0.4,0.1
INV-24491000018,2020-01-10,4275,557,1,400,6,0.4,0.1
INV-24479000028,2020-01-10,2656,41670,1,750,6.75,0.75,0.19
INV-24473300041,2020-01-10,5517,54706,1,750,6.75,0.75,0.19
INV-24485000104,2020-01-10,5236,78866,1,750,7.5,0.75,0.19
INV-24489600090,2020-01-10,2550,84496,1,750,7.5,0.75,0.19
INV-24484000023,2020-01-10,2569,30236,1,750,7.5,0.75,0.19
INV-24494800019,2020-01-10,4267,78456,1,750,7.5,0.75,0.19
INV-24468800037,2020-01-10,3831,78866,1,750,7.5,0.75,0.19
INV-24494800022,2020-01-10,4267,84496,1,750,7.5,0.75,0.19
INV-24485000105,2020-01-10,5236,78456,1,750,7.5,0.75,0.19
INV-24482100013,2020-01-10,3679,78456,1,750,7.5,0.75,0.19
INV-24482900014,2020-01-10,5463,78866,1,750,7.5,0.75,0.19
INV-24473300038,2020-01-10,5517,82187,1,1000,7.5,1,0.26
INV-24478400023,2020-01-10,4246,65204,1,50,7.5,0.05,0.01
INV-24482500055,2020-01-10,3857,69631,1,50,7.5,0.05,0.01
INV-24479500074,2020-01-10,4291,65204,1,50,7.5,0.05,0.01
INV-24487500032,2020-01-10,5466,65204,1,50,7.5,0.05,0.01
INV-24478400031,2020-01-10,4246,69713,1,50,7.5,0.05,0.01
INV-24478400029,2020-01-10,4246,69609,1,50,7.5,0.05,0.01
INV-24473100013,2020-01-10,4897,69631,1,50,7.5,0.05,0.01
INV-24491800010,2020-01-10,2602,69631,1,50,7.5,0.05,0.01
INV-24485600021,2020-01-10,4299,69631,1,50,7.5,0.05,0.01
INV-24490200010,2020-01-10,2677,69631,1,50,7.5,0.05,0.01
INV-24491300080,2020-01-10,3818,69609,1,50,7.5,0.05,0.01
INV-24483900075,2020-01-10,4180,65204,1,50,7.5,0.05,0.01
INV-24478400030,2020-01-10,4246,69631,1,50,7.5,0.05,0.01
INV-24483900011,2020-01-10,4180,34164,1,200,7.5,0.2,0.05
INV-24480900060,2020-01-10,2524,64759,1,200,7.5,0.2,0.05
INV-24480900063,2020-01-10,2524,64912,1,200,7.5,0.2,0.05
INV-24475000001,2020-01-10,4361,43123,2,200,7.5,0.4,0.1
INV-24497700028,2020-01-10,2459,43334,1,375,7.5,0.37,0.09
INV-24483900070,2020-01-10,4180,69634,1,375,8,0.37,0.09
INV-24485000074,2020-01-10,5236,43984,1,750,9,0.75,0.19
INV-24471400013,2020-01-10,2653,72722,1,750,9,0.75,0.19
INV-24486100012,2020-01-10,4346,43076,1,750,9,0.75,0.19
INV-24481500011,2020-01-10,3738,52316,1,750,9,0.75,0.19
INV-24473300032,2020-01-10,5517,35946,2,750,9,1.5,0.39
INV-24470800034,2020-01-10,2678,84197,1,600,9,0.6,0.15
INV-24476500022,2020-01-10,5245,52593,3,200,9,0.6,0.15
INV-24486600027,2020-01-10,4273,52593,3,200,9,0.6,0.15
INV-24470800033,2020-01-10,2678,84172,1,50,9,0.05,0.01
INV-24467200011,2020-01-10,4375,84172,1,50,9,0.05,0.01
INV-24473000005,2020-01-10,5434,84172,1,50,9,0.05,0.01
INV-24476900022,2020-01-10,4377,89193,2,200,9,0.4,0.1
INV-24483900055,2020-01-10,4180,89193,2,200,9,0.4,0.1
INV-24477400042,2020-01-10,5210,71529,1,375,9,0.37,0.09
INV-24487500050,2020-01-10,5466,77545,1,375,9,0.37,0.09
INV-24490500007,2020-01-10,4011,30057,2,1000,10.5,2,0.52
INV-24489700034,2020-01-10,4260,86112,3,1000,10.5,3,0.79
INV-24482100024,2020-01-10,3679,35699,1,750,10.5,0.75,0.19
INV-24467100019,2020-01-10,5425,25604,2,375,10.5,0.75,0.19
INV-24475900020,2020-01-10,4370,39917,2,375,10.5,0.75,0.19
INV-24494800014,2020-01-10,4267,11586,1,750,10.5,0.75,0.19
INV-24467100037,2020-01-10,5425,27751,1,750,10.5,0.75,0.19
INV-24480900026,2020-01-10,2524,27751,1,750,10.5,0.75,0.19
INV-24489600053,2020-01-10,2550,44456,1,750,10.5,0.75,0.19
INV-24480900033,2020-01-10,2524,34856,1,750,10.5,0.75,0.19
INV-24466700015,2020-01-10,4661,25604,2,375,10.5,0.75,0.19
INV-24484000068,2020-01-10,2569,44456,1,750,10.5,0.75,0.19
INV-24489100016,2020-01-10,5358,39917,2,375,10.5,0.75,0.19
INV-24495500014,2020-01-10,2445,25604,2,375,10.5,0.75,0.19
INV-24489100015,2020-01-10,5358,36968,2,375,10.5,0.75,0.19
INV-24475100019,2020-01-10,4140,52594,2,375,10.5,0.75,0.19
INV-24482100018,2020-01-10,3679,44557,1,750,10.5,0.75,0.19
INV-24484000042,2020-01-10,2569,37141,1,750,10.5,0.75,0.19
INV-24496400018,2020-01-10,3963,36617,2,375,10.5,0.75,0.19
INV-24489600022,2020-01-10,2550,27554,1,750,10.5,0.75,0.19
INV-24480900057,2020-01-10,2524,52594,2,375,10.5,0.75,0.19
INV-24480900040,2020-01-10,2524,36968,2,375,10.5,0.75,0.19
INV-24465200009,2020-01-10,4411,40593,2,375,10.5,0.75,0.19
INV-24467100036,2020-01-10,5425,27554,1,750,10.5,0.75,0.19
INV-24483900050,2020-01-10,4180,24156,2,750,10.5,1.5,0.39
INV-24468800041,2020-01-10,3831,24156,2,750,10.5,1.5,0.39
INV-24486600041,2020-01-10,4273,24156,2,750,10.5,1.5,0.39
INV-24473300027,2020-01-10,5517,76486,2,750,10.5,1.5,0.39
INV-24490300021,2020-01-10,2523,76486,2,750,10.5,1.5,0.39
INV-24482100027,2020-01-10,3679,80578,1,1750,10.5,1.75,0.46
INV-24497700026,2020-01-10,2459,68034,1,375,10.5,0.37,0.09
INV-24464200013,2020-01-10,4617,68034,1,375,10.5,0.37,0.09
INV-24487500039,2020-01-10,5466,27454,1,750,12,0.75,0.19
INV-24483900047,2020-01-10,4180,27454,1,750,12,0.75,0.19
INV-24471800008,2020-01-10,2558,27454,1,750,12,0.75,0.19
INV-24489600010,2020-01-10,2550,17956,1,750,12,0.75,0.19
INV-24474300010,2020-01-10,5252,41846,1,750,12,0.75,0.19
INV-24485000075,2020-01-10,5236,73702,1,750,12,0.75,0.19
INV-24491300065,2020-01-10,3818,81406,1,750,12,0.75,0.19
INV-24496000022,2020-01-10,3728,10626,1,750,12,0.75,0.19
INV-24485400014,2020-01-10,4252,73715,1,750,12,0.75,0.19
INV-24486600042,2020-01-10,4273,10626,1,750,12,0.75,0.19
INV-24473300018,2020-01-10,5517,17956,1,750,12,0.75,0.19
INV-24494400017,2020-01-10,4324,41846,1,750,12,0.75,0.19
INV-24479900047,2020-01-10,2228,81206,2,750,12,1.5,0.39
INV-24489600081,2020-01-10,2550,81206,2,750,12,1.5,0.39
INV-24471400026,2020-01-10,2653,45276,2,750,12,1.5,0.39
INV-24473300043,2020-01-10,5517,45276,2,750,12,1.5,0.39
INV-24490100016,2020-01-10,4271,45276,2,750,12,1.5,0.39
INV-24484000070,2020-01-10,2569,45246,2,750,12,1.5,0.39
INV-24466400018,2020-01-10,4448,45276,2,750,12,1.5,0.39
INV-24486600040,2020-01-10,4273,45276,2,750,12,1.5,0.39
INV-24487400012,2020-01-10,5051,22788,1,1750,12,1.75,0.46
INV-24491300020,2020-01-10,3818,22788,1,1750,12,1.75,0.46
INV-24477400029,2020-01-10,5210,26822,4,100,12,0.4,0.1
INV-24486500006,2020-01-10,4596,52593,4,200,12,0.8,0.21
INV-24465200001,2020-01-10,4411,10805,1,375,12,0.37,0.09
INV-24485000048,2020-01-10,5236,11294,1,375,12,0.37,0.09
INV-24493400028,2020-01-10,5556,10805,1,375,12,0.37,0.09
INV-24484000003,2020-01-10,2569,11294,1,375,12,0.37,0.09
INV-24483900014,2020-01-10,4180,10805,1,375,12,0.37,0.09
INV-24483900016,2020-01-10,4180,11294,1,375,12,0.37,0.09
INV-24493400027,2020-01-10,5556,10790,1,375,12,0.37,0.09
INV-24465400018,2020-01-10,4868,11294,1,375,12,0.37,0.09
INV-24476500015,2020-01-10,5245,43034,2,375,13.5,0.75,0.19
INV-24466000014,2020-01-10,4392,64866,1,750,13.5,0.75,0.19
INV-24474300008,2020-01-10,5252,31493,1,750,13.5,0.75,0.19
INV-24485000071,2020-01-10,5236,43296,1,750,13.5,0.75,0.19
INV-24468800043,2020-01-10,3831,43296,1,750,13.5,0.75,0.19
INV-24486100010,2020-01-10,4346,64866,1,750,13.5,0.75,0.19
INV-24467800008,2020-01-10,5411,41927,2,750,13.5,1.5,0.39
INV-24468500092,2020-01-10,2505,41316,2,750,13.5,1.5,0.39
INV-24480900046,2020-01-10,2524,41326,2,750,13.5,1.5,0.39
INV-24467800009,2020-01-10,5411,41840,2,750,13.5,1.5,0.39
INV-24467800003,2020-01-10,5411,40359,2,750,13.5,1.5,0.39
INV-24479900060,2020-01-10,2228,89193,3,200,13.5,0.6,0.15
INV-24485000046,2020-01-10,5236,88290,1,200,13.5,0.2,0.05
INV-24479900040,2020-01-10,2228,20247,2,1000,15,2,0.52
INV-24479400034,2020-01-10,2553,17127,2,1000,15,2,0.52
INV-24480900022,2020-01-10,2524,25877,2,1000,15,2,0.52
INV-24494500040,2020-01-10,5467,75209,2,375,15,0.75,0.19
INV-24465400023,2020-01-10,4868,43334,2,375,15,0.75,0.19
INV-24488500003,2020-01-10,2549,86839,1,750,15,0.75,0.19
INV-24468000038,2020-01-10,4320,43334,2,375,15,0.75,0.19
INV-24489700020,2020-01-10,4260,75198,1,750,15,0.75,0.19
INV-24468600024,2020-01-10,4107,75230,1,750,15,0.75,0.19
INV-24482100025,2020-01-10,3679,75230,1,750,15,0.75,0.19
INV-24474000009,2020-01-10,5702,86839,1,750,15,0.75,0.19
INV-24485000082,2020-01-10,5236,75230,1,750,15,0.75,0.19
INV-24493800018,2020-01-10,3783,75230,1,750,15,0.75,0.19
INV-24494900076,2020-01-10,2591,75209,2,375,15,0.75,0.19
INV-24486600016,2020-01-10,4273,28032,1,750,15,0.75,0.19
INV-24484000021,2020-01-10,2569,27433,1,750,15,0.75,0.19
INV-24489600074,2020-01-10,2550,75198,1,750,15,0.75,0.19
INV-24487100040,2020-01-10,5600,75213,2,375,15,0.75,0.19
INV-24479500022,2020-01-10,4291,85606,2,750,15,1.5,0.39
INV-24487900028,2020-01-10,3698,30316,2,750,15,1.5,0.39
INV-24494600023,2020-01-10,3461,85606,2,750,15,1.5,0.39
INV-24468500076,2020-01-10,2505,84456,2,750,15,1.5,0.39
INV-24471400015,2020-01-10,2653,84456,2,750,15,1.5,0.39
INV-24490100022,2020-01-10,4271,11940,2,750,15,1.5,0.39
INV-24479000035,2020-01-10,2656,37888,1,1750,15,1.75,0.46
INV-24493200045,2020-01-10,3514,37888,1,1750,15,1.75,0.46
INV-24495900035,2020-01-10,2641,69609,2,50,15,0.1,0.02
INV-24495900034,2020-01-10,2641,69631,2,50,15,0.1,0.02
INV-24468500069,2020-01-10,2505,65204,2,50,15,0.1,0.02
INV-24473200011,2020-01-10,4790,69631,2,50,15,0.1,0.02
INV-24495900029,2020-01-10,2641,65204,2,50,15,0.1,0.02
INV-24487900015,2020-01-10,3698,64571,2,200,15,0.4,0.1
INV-24486500002,2020-01-10,4596,43123,4,200,15,0.8,0.21
INV-24475000009,2020-01-10,4361,64863,4,200,15,0.8,0.21
INV-24476200007,2020-01-10,4622,43123,4,200,15,0.8,0.21
INV-24486600034,2020-01-10,4273,86886,1,750,15.5,0.75,0.19
INV-24482000005,2020-01-10,4972,86885,1,750,15.5,0.75,0.19
INV-24471600017,2020-01-10,5163,69634,2,375,16,0.75,0.19
INV-24479900066,2020-01-10,2228,69634,2,375,16,0.75,0.19
INV-24476200041,2020-01-10,4622,64864,2,375,16,0.75,0.19
INV-24473300019,2020-01-10,5517,64864,2,375,16,0.75,0.19
INV-24474500017,2020-01-10,3712,64864,2,375,16,0.75,0.19
INV-24486500014,2020-01-10,4596,36903,10,200,17,2,0.52
INV-24475000004,2020-01-10,4361,35313,10,200,17,2,0.52
INV-24472200004,2020-01-10,2506,35913,10,200,17,2,0.52
INV-24497000039,2020-01-10,5327,35313,10,200,17,2,0.52
INV-24472200002,2020-01-10,2506,36903,10,200,17,2,0.52
INV-24490100015,2020-01-10,4271,81206,3,750,18,2.25,0.59
INV-24468300010,2020-01-10,4838,81206,3,750,18,2.25,0.59
INV-24492300034,2020-01-10,5167,22786,3,750,18,2.25,0.59
INV-24484000069,2020-01-10,2569,45245,3,750,18,2.25,0.59
INV-24467900032,2020-01-10,2612,45276,3,750,18,2.25,0.59
INV-24493800030,2020-01-10,3783,81196,3,750,18,2.25,0.59
INV-24484000072,2020-01-10,2569,45276,3,750,18,2.25,0.59
INV-24467300012,2020-01-10,4136,81206,3,750,18,2.25,0.59
INV-24497800023,2020-01-10,3465,45246,3,750,18,2.25,0.59
INV-24480900070,2020-01-10,2524,71529,2,375,18,0.75,0.19
INV-24487500048,2020-01-10,5466,72448,2,375,18,0.75,0.19
INV-24487500049,2020-01-10,5466,71529,2,375,18,0.75,0.19
INV-24469600119,2020-01-10,2603,72722,2,750,18,1.5,0.39
INV-24484200025,2020-01-10,2618,37414,4,375,18,1.5,0.39
INV-24489100005,2020-01-10,5358,43026,2,750,18,1.5,0.39
INV-24473400039,2020-01-10,3403,43026,2,750,18,1.5,0.39
INV-24466400016,2020-01-10,4448,43026,2,750,18,1.5,0.39
INV-24486200012,2020-01-10,5268,43026,2,750,18,1.5,0.39
INV-24487900031,2020-01-10,3698,73986,2,750,18,1.5,0.39
INV-24484500073,2020-01-10,2847,73986,2,750,18,1.5,0.39
INV-24479500026,2020-01-10,4291,43026,2,750,18,1.5,0.39
INV-24496500107,2020-01-10,2613,52593,6,200,18,1.2,0.31
INV-24491300074,2020-01-10,3818,84152,2,50,18,0.1,0.02
INV-24487400022,2020-01-10,5051,84172,2,50,18,0.1,0.02
INV-24480500053,2020-01-10,4334,27692,2,50,18,0.1,0.02
INV-24491200031,2020-01-10,4817,84207,2,50,18,0.1,0.02
INV-24475700029,2020-01-10,4369,84172,2,50,18,0.1,0.02
INV-24468500068,2020-01-10,2505,84172,2,50,18,0.1,0.02
INV-24486500010,2020-01-10,4596,89193,4,200,18,0.8,0.21
INV-24477400049,2020-01-10,5210,89193,4,200,18,0.8,0.21
INV-24468500074,2020-01-10,2505,76486,4,750,21,3,0.79
INV-24464000002,2020-01-10,5179,76486,4,750,21,3,0.79
INV-24477800006,2020-01-10,4249,76486,4,750,21,3,0.79
INV-24474300009,2020-01-10,5252,22156,1,750,21,0.75,0.19
INV-24482300026,2020-01-10,2178,22156,1,750,21,0.75,0.19
INV-24491300034,2020-01-10,3818,15776,1,750,21,0.75,0.19
INV-24468800021,2020-01-10,3831,22156,1,750,21,0.75,0.19
INV-24482200019,2020-01-10,5017,22156,1,750,21,0.75,0.19
INV-24479500045,2020-01-10,4291,22156,1,750,21,0.75,0.19
INV-24477400048,2020-01-10,5210,87619,1,750,21,0.75,0.19
INV-24469600087,2020-01-10,2603,68034,2,375,21,0.75,0.19
INV-24486900011,2020-01-10,5131,25604,4,375,21,1.5,0.39
INV-24473300029,2020-01-10,5517,11586,2,750,21,1.5,0.39
INV-24494500029,2020-01-10,5467,25604,4,375,21,1.5,0.39
INV-24482000001,2020-01-10,4972,35699,2,750,21,1.5,0.39
INV-24496400014,2020-01-10,3963,40598,4,375,21,1.5,0.39
INV-24468500089,2020-01-10,2505,41019,2,750,21,1.5,0.39
INV-24466400045,2020-01-10,4448,36968,4,375,21,1.5,0.39
INV-24464200011,2020-01-10,4617,40593,4,375,21,1.5,0.39
INV-24468100006,2020-01-10,5700,36968,4,375,21,1.5,0.39
INV-24482100017,2020-01-10,3679,44499,2,750,21,1.5,0.39
INV-24468100009,2020-01-10,5700,25604,4,375,21,1.5,0.39
INV-24494100021,2020-01-10,3964,11586,2,750,21,1.5,0.39
INV-24473400022,2020-01-10,3403,25604,4,375,21,1.5,0.39
INV-24490300034,2020-01-10,2523,38169,2,750,21,1.5,0.39
INV-24476900027,2020-01-10,4377,40598,4,375,21,1.5,0.39
INV-24473400014,2020-01-10,3403,41943,2,750,21,1.5,0.39
INV-24477400027,2020-01-10,5210,25604,4,375,21,1.5,0.39
INV-24496400016,2020-01-10,3963,40593,4,375,21,1.5,0.39
INV-24476300025,2020-01-10,4603,52594,4,375,21,1.5,0.39
INV-24464900015,2020-01-10,4384,40593,4,375,21,1.5,0.39
INV-24497600005,2020-01-10,4418,36968,4,375,21,1.5,0.39
INV-24487500010,2020-01-10,5466,44419,2,750,21,1.5,0.39
INV-24475000016,2020-01-10,4361,19063,4,200,21,0.8,0.21
INV-24467800004,2020-01-10,5411,19063,4,200,21,0.8,0.21
INV-24464200046,2020-01-10,4617,19063,4,200,21,0.8,0.21
INV-24474500013,2020-01-10,3712,29998,2,1750,22,3.5,0.92
INV-24469600083,2020-01-10,2603,24453,8,200,22,1.6,0.42
INV-24473300049,2020-01-10,5517,64868,1,1750,23,1.75,0.46
INV-24480900019,2020-01-10,2524,22786,4,750,24,3,0.79
INV-24476300016,2020-01-10,4603,45276,4,750,24,3,0.79
INV-24497800026,2020-01-10,3465,81206,4,750,24,3,0.79
INV-24466400029,2020-01-10,4448,81206,4,750,24,3,0.79
INV-24473400030,2020-01-10,3403,25878,2,1750,24,3.5,0.92
INV-24479900043,2020-01-10,2228,25878,2,1750,24,3.5,0.92
INV-24473300059,2020-01-10,5517,44217,4,1000,24,4,1.05
INV-24465400017,2020-01-10,4868,10805,2,375,24,0.75,0.19
INV-24471600016,2020-01-10,5163,11294,2,375,24,0.75,0.19
INV-24475900022,2020-01-10,4370,10805,2,375,24,0.75,0.19
INV-24466400048,2020-01-10,4448,11294,2,375,24,0.75,0.19
INV-24466400047,2020-01-10,4448,10805,2,375,24,0.75,0.19
INV-24475000024,2020-01-10,4361,11294,2,375,24,0.75,0.19
INV-24475000027,2020-01-10,4361,10805,2,375,24,0.75,0.19
INV-24482000007,2020-01-10,4972,41846,2,750,24,1.5,0.39
INV-24482000011,2020-01-10,4972,10626,2,750,24,1.5,0.39
INV-24494600029,2020-01-10,3461,17956,2,750,24,1.5,0.39
INV-24487100044,2020-01-10,5600,41846,2,750,24,1.5,0.39
INV-24482500048,2020-01-10,3857,41846,2,750,24,1.5,0.39
INV-24467100003,2020-01-10,5425,41846,2,750,24,1.5,0.39
INV-24490300022,2020-01-10,2523,77805,2,750,24,1.5,0.39
INV-24495500020,2020-01-10,2445,17956,2,750,24,1.5,0.39
INV-24479500046,2020-01-10,4291,10626,2,750,24,1.5,0.39
INV-24490700014,2020-01-10,3909,14519,2,750,24,1.5,0.39
INV-24479500006,2020-01-10,4291,77805,2,750,24,1.5,0.39
INV-24482300027,2020-01-10,2178,39868,1,1750,24,1.75,0.46
INV-24496500108,2020-01-10,2613,26822,8,100,24,0.8,0.21
INV-24494100004,2020-01-10,3964,64864,3,375,24,1.12,0.29
INV-24497700029,2020-01-10,2459,64864,3,375,24,1.12,0.29
INV-24473200012,2020-01-10,4790,69634,3,375,24,1.12,0.29
INV-24491800028,2020-01-10,2602,43025,3,750,27,2.25,0.59
INV-24491800027,2020-01-10,2602,72732,3,750,27,2.25,0.59
INV-24489600039,2020-01-10,2550,38056,3,750,27,2.25,0.59
INV-24493700009,2020-01-10,4319,52316,3,750,27,2.25,0.59
INV-24474800012,2020-01-10,3065,52316,3,750,27,2.25,0.59
INV-24479700028,2020-01-10,4317,52316,3,750,27,2.25,0.59
INV-24474600005,2020-01-10,5041,43026,3,750,27,2.25,0.59
INV-24488900024,2020-01-10,4482,40126,4,750,27,3,0.79
INV-24477800007,2020-01-10,4249,54706,4,750,27,3,0.79
INV-24464200033,2020-01-10,4617,35416,4,750,27,3,0.79
INV-24468500091,2020-01-10,2505,41279,4,750,27,3,0.79
INV-24488900026,2020-01-10,4482,40359,4,750,27,3,0.79
INV-24488900025,2020-01-10,4482,41316,4,750,27,3,0.79
INV-24488900027,2020-01-10,4482,35416,4,750,27,3,0.79
INV-24468500090,2020-01-10,2505,40126,4,750,27,3,0.79
INV-24477200008,2020-01-10,2658,40126,4,750,27,3,0.79
INV-24466700012,2020-01-10,4661,36904,10,375,27,3.75,0.99
INV-24486500016,2020-01-10,4596,36904,10,375,27,3.75,0.99
INV-24483600010,2020-01-10,2514,36904,10,375,27,3.75,0.99
INV-24490700018,2020-01-10,3909,5635,1,750,27,0.75,0.19
